CHILDID,S1_ID,S2_ID,S3_ID,S4_ID,S5_ID,S6_ID,S7_ID,KURBAN_R,GENDER,RACE,C1R4MSCL,C2R4MSCL,C3R4MSCL,C4R4MSCL,C5R4MSCL,C6R4MSCL,C7R4MSCL,W1SESL,W3SESL,W5SESL,S2PUBLIC
0009018C,0009,0009, ,0009,0009,7065,C008,3,1,1,21.56,31.37, ,43.12,61.73,88.64,84.14,.03,-.44,-.49,1
0009019C,0009,0009, ,0009,0009, , ,3,1,1,12.62,12.83, ,25.73,48.74, , ,-.27,-.09, ,1
0009020C,0009,0009, ,0026,0009,7065,C008,3,2,1,13.93,17.41, ,27.27,58.06,67.9,115.88,-.43,-.67,-.5,1
0009021C,0009, , ,9997,9997, , ,3,2,1, , , , , , , ,-.16,-.22, ,1
0009022C,0009,0009, ,0009,0009, , ,3,1,1,45.19,71.4, ,118.51,139.99, , ,1.21,1.11, ,1
0009024C,0009,0009, ,0009,0009,7065,C008,3,1,1,27.13,47.47, ,68.85,113.5,132.63,130.71,-.09,-.45,-.43,1
0009025C,0009,0009, ,0009,0009, ,9995,3,2,1,15.14,19.56, ,50.58,-9, , ,-.81,-.92, ,1
0009026C,0009,0009, ,0009,0009,7065,C008,3,2,1,17.28,25.32, ,33.46,77.78,72.66,96.5,.77,.61,1.22,1
0010001C,0010,0010, ,0010,0010, , ,3,1,1,13.24,21.39, ,32.86,68.63, , ,-.87,-.47, ,1
0010002C,0010,0010, ,0002,6009, , ,3,1,1,28.93,39.6, ,55.76,116.08, , ,-.53,.31, ,1
0010003C,0010,0010, ,0010,7198, , ,3,1,1,30.77,36.45, ,61.54,110.27, , ,.11,-.65, ,1
0010004C,0010,0010, ,0010,0010,0010,0010,3,1,1,29.01,36.44, ,61.43,106.2,142.27,142.88,-1.22,-1.7,-1.12,1
0010005C,0010,0010, ,0010,9997,9997,E605,3,2,1,19.71,18.68, ,19.64, , ,88.82,-.46,-.47,-.22,1
0010006C,0010,0010, ,0010,0011,0010,0010,3,2,1,17.61,25.48, ,41.98,82.29,102.01,108.23,-.71,-.77,-.79,1
0010007C,0010,0010, ,0010,0010,0010,0010,3,2,1,24.19,34.07, ,55.11,83.37,111.97,139.69,-.72,-.64,-.57,1
0010008C,0010,0010, ,0010,0010,0010,0010,3,2,1,13,20.31, ,26.34,48.73,61.12,96.44,-1.36,-.86,-1,1
0010009C,0010,0010, ,0010,6028, , ,3,1,1,25.78,43.02, ,53.1,103.14, , ,-1.25,-1.15, ,1
0010010C,0010,0010, ,0010,0010,0010,C286,3,2,1,17.41,24.6, ,35.98,72.38,72.45,112.63,-1.38,-1.34,-.9,1
0010011C,0010,0010, ,0010,0010,0010,0011,3,1,1,19.39,24.43, ,44.75,88.55,118.73,86.16,-.81,-1.16,-.62,1
0010012C,0010,0010, ,0010,5729, , ,3,2,3,22.2,31.43, ,50.76,89.79, , ,.01, , ,1
0010013C,0010,0010, ,9997,9997, , ,3,1,1,12.86,25.15, , , , , ,-.38,-.42, ,1
0010014C,0010,0010, ,9997,9997, , ,3,2,1,19.84,23.74, , , , , ,-.24,-.3, ,1
0010015C,0010,0010, ,0010,0010,0010,0010,3,2,1,25.48,28.04, ,48.29,90.22,127.63,132.6,-.37,-.38,-.48,1
0010016C,0010,0010, ,0010,0010,0010,0010,3,2,1,20,24.98, ,43.42,73.89,102.1,109.42,-.24,-.27,-.21,1
0010017C,0010,0010, ,0010,6027,6027,C009,3,1,1,18.76,25.59, ,45.71,78.68,111.39,146.1,.68,.59,.59,1
0010018C,0010,0010, ,0010,0010,0010,0010,3,2,1,29.53,35.57, ,55.08,130.61,149.22,165.06,1.31,1.48,1.45,1
0010019C,0010,0010, ,0010,0010,0010,0010,3,1,8,21.63,31.3, ,49.92,114.86,147.26,161.14,-.15, , ,1
0010020C,0010,0010, ,0010,0010,0010,0010,3,1,1,20.86,29.26, ,40.58,64.61,93.21,109.94,-.51,-.58, ,1
0010021C,0010,0010, ,9997,9997,9997,C001,3,2,1,20.3,35.94, , , , ,126.73,.14,-.54,-.5,1
0010022C,0010,0010, ,0010,0010,0010,0010,3,2,7,21.42,24.72, ,60.37,88.76,117.48,150.08,-.12,-.33,-.35,1
0010023C,0010,0010, ,9997,9997, , ,3,1,1,28.15,36.34, , , , , ,.01,-.06, ,1
0010024C,0010,4100, ,0010,0010,0010,0010,3,1,1,17.88,25.98, ,46.07,75.06,121.32,150.61, , , ,1
0011001C,0011,0011, ,0011,9997,9997,E430,3,2,1,28.5,35.13, ,49.14, , ,131.69,-.2,-.58,-.26,1
0011002C,0011,0011, ,0011,0011,0011,0011,3,2,1,36.98,38.51, ,65.18,106.21,147.93,149.88,.2,-.25,-.27,1
0011003C,0011,0011, ,0011,0011, , ,3,1,1,33.19,41.94, ,93.52,126.86, , ,-.35,-.34, ,1
0011004C,0011,0011, ,0011,0011,0011,0011,3,2,1,28.69,31.36, ,87.77,124.81,159.11,164.31,1.05,.94,1.21,1
0011005C,0011,0011, , , , , ,3,2,1,16.44,20.85, , , , , , , , ,1
0011006C,0011,0011, ,0011,0011,0011,0011,3,2,1,19.65,26.87, ,56.15,97.77,115.36,126.83,-.3,-.38,-.15,1
0011007C,0011,0011, ,0011,0011,0011,0011,3,1,1,26.2,41.25, ,55.63,109.46,127.62,151.18,-.42,-.38,-.48,1
0011008C,0011,0011, ,0011,0011,0011,C286,3,1,1,29.47,33.18, ,49.61,89.76,118.29,125.6,-.2,-.27,-.29,1
0011009C,0011,0011, ,0011,0011,0011,0011,3,2,1,24.6,28.68, ,54.24,81.8,116.71,118.2,-.46,-.46,-.54,1
0011010C,0011,0011, ,0011,0011,0011,0011,3,1,1,19.57,31.44, ,48.63,82.73,128.24,133.41,-.23,-.25,-.28,1
0011011C,0011,0011, ,0011,0011,0011,0011,3,1,1,21.07,28.64, ,53.65,98.99,128.43,140.51,.06,-.01,-.03,1
0011012C,0011,0011, ,0011,0011,0011,0011,3,1,1,24.17,27.71, ,55.21,90.77,126.63,134.79,-.65,-.64,-.54,1
0011013C,0011,0011, ,0011,0011,0011, ,3,1,1,41.79,46.9, ,90.66,143.48,160.92, ,-.42,-.55,-.57,1
0011014C,0011,0011, ,0011,0011,0011,0011,3,1,1,19.77,30.58, ,69.67,93.75,122.36,160.75,-.1,.18,.16,1
0011015C,0011,0011, , , , , ,3,1,1,17.97,21.91, , , , , , , , ,1
