S_ID,CREGION,CS_TYPE2,KURBAN_R,S2KENRLS,S2KPUPRI
0623,3,4,3,1,1
0625,3,4,2,4,1
0626,3,2,2,3,2
0627,3,4,2,4,1
0629,3,4,2,4,1
0630,3,4,2,3,1
0632,3,4,2,3,1
0633,3,4,2,3,1
0635,3,4,1,4,1
0636,3,4,2,5,1
0638,3,4,2,3,1
0639,3,4,2,4,1
0642,3,4,2,5,1
0644,3,4,2,5,1
0645,3,4,2,3,1
0646,3,4,2,4,1
0647,3,4,2,4,1
0649,3,4,2,4,1
0650,3,4,2,2,1
0651,3,4,1,5,1
0652,3,4,1,4,1
0653,3,4,1,4,1
0654,3,4,1,3,1
0657,3,4,1,3,1
0659,3,4,1,4,1
0660,3,4,1,3,2
0661,3,4,2,5,1
0663,3,3,2,1,2
0664,3,4,2,4,1
0665,3,4,2,5,1
0666,3,4,2,4,1
0667,3,4,2,4,1
0669,3,4,2,4,1
0671,3,1,1,2,2
0673,3,4,1,5,1
0676,3,4,2,5,1
0678,3,4,2,4,1
0680,3,4,1,5,1
0682,3,2,2,1,2
0683,3,4,1,5,1
0684,3,4,2,5,1
0685,3,4,2,4,1
0686,3,4,2,2,1
0687,3,4,1,5,1
0691,3,4,2,5,1
0695,3,4,2,4,1
0697,3,2,1,1,2
0698,3,4,1,5,1
0699,3,3,2,1,2
0704,3,4,2,5,1
0705,3,4,1,5,1
0706,3,4,1,5,1
0708,3,4,1,4,1
0710,3,4,1,4,1
0711,3,1,1,2,2
0713,3,2,1,2,2
0717,3,4,2,5,1
0718,3,4,2,5,1
0723,3,1,1,3,2
0728,3,4,3,4,1
0729,3,4,2,4,1
0731,3,4,2,3,1
0732,3,4,2,4,1
0733,3,4,2,4,1
0734,3,4,2,4,1
0735,3,4,2,3,1
0737,3,1,2,3,2
0739,3,4,3,5,1
0740,3,4,3,3,1
0743,3,4,3,3,1
0744,3,3,3,1,2
0745,3,4,3,4,1
0746,3,4,3,3,1
0748,3,4,3,2,1
0749,3,4,3,3,1
0750,3,4,3,4,1
0751,3,4,3,4,1
0752,3,4,3,5,1
0753,3,4,3,3,1
0754,3,4,3,2,1
0755,3,4,3,3,1
0757,3,4,3,3,1
0758,3,4,3,4,1
0759,3,4,3,4,1
0760,3,4,3,3,1
0761,3,4,3,4,1
0762,3,4,3,3,1
0764,3,4,3,3,1
0765,3,4,3,2,1
0766,3,4,3,4,1
0767,3,2,3,2,2
0768,3,3,2,1,2
0769,3,4,2,4,1
0770,3,4,1,3,1
0771,3,4,1,4,1
0773,3,2,1,5,2
0775,3,4,1,4,1
0776,3,4,3,3,1
0777,3,4,2,1,1
0781,3,4,2,3,1
0782,3,3,1,1,2
0783,3,4,2,4,1
0785,3,4,1,4,1
0788,3,4,2,4,1
0789,3,4,3,5,1
0790,3,4,1,3,1
0792,3,4,3,3,1
0797,3,4,3,5,1
0799,3,4,3,3,1
0800,3,4,3,4,1
0802,3,2,3,1,2
0803,3,4,3,2,1
0804,3,4,3,4,1
0805,3,4,3,4,1
0808,3,4,2,5,1
0809,3,4,2,5,1
0810,3,4,1,2,1
0811,3,4,1,2,1
0812,3,1,1,3,2
0814,3,4,1,4,1
0815,3,4,2,4,1
0816,3,4,2,4,1
0817,3,4,2,3,1
0818,3,4,2,4,1
0819,3,4,3,4,1
0822,3,3,2,1,2
0824,3,4,2,5,1
0826,3,4,1,4,1
0827,3,4,1,4,1
0828,3,1,1,4,2
0829,3,1,1,2,2
0830,3,1,1,3,2
0831,3,1,1,2,2
0832,3,4,2,5,1
0833,3,4,3,3,1
0834,3,4,2,4,1
0835,3,1,2,4,2
0836,3,4,2,5,1
0837,3,4,2,3,1
0838,3,4,2,2,1
0839,3,4,2,4,1
0840,3,2,2,3,2
0841,3,4,1,5,1
0843,3,1,1,5,2
0844,3,1,2,2,2
0845,3,4,2,3,1
0846,3,3,1,5,2
0847,3,4,1,4,1
0848,3,4,1,4,1
0849,3,4,1,3,1
0850,3,1,1,5,2
0851,3,4,1,3,1
0852,3,1,2,3,2
0853,3,2,1,3,2
0854,3,2,1,1,2
0855,3,4,2,3,1
0856,3,4,3,5,1
0857,3,4,2,4,1
0858,3,4,3,4,1
0859,3,4,2,4,1
0860,3,4,2,5,1
0861,3,1,2,2,2
0862,3,4,2,5,1
0863,3,4,3,3,1
0864,3,1,3,1,2
0865,3,4,2,5,1
0867,3,4,2,4,1
0868,3,4,3,2,1
0869,3,4,1,3,1
0870,3,4,1,2,1
0871,3,4,1,2,1
0872,3,4,1,2,1
0873,3,4,1,4,1
0874,3,4,1,2,1
0876,3,4,1,4,1
0877,3,4,2,4,1
0878,3,4,2,4,1
0879,3,2,1,1,2
0880,3,4,1,4,1
0882,3,4,1,3,1
0883,3,4,1,3,1
0884,3,4,1,4,1
0885,3,4,1,3,1
0886,3,4,1,4,1
0887,3,1,1,4,2
0894,3,1,1,3,2
0897,3,2,2,2,2
0903,3,4,2,4,1
0905,3,2,2,1,2
0906,3,4,2,5,1
0907,3,4,2,4,1
0908,3,4,2,4,1
0909,3,4,2,5,1
0911,3,4,2,3,1
0913,3,4,3,1,1
0914,3,4,3,2,1
0917,3,3,2,1,2
0920,3,4,1,5,1
0932,3,4,2,4,1
0936,3,4,2,5,1
0937,3,4,2,4,1
0938,3,4,1,3,1
0939,3,4,1,4,1
0940,3,4,1,3,1
0941,3,4,1,3,1
0942,3,4,1,4,1
0943,3,4,1,4,1
0944,3,2,1,5,2
0945,3,2,1,4,2
0946,3,4,1,3,1
0947,3,4,2,4,1
0948,3,4,1,4,1
0949,3,4,1,4,1
0950,3,4,1,4,1
0951,3,4,1,4,1
0952,3,4,1,5,1
0953,3,1,1,3,2
0962,4,4,3,1,1
0964,4,4,3,3,1
0966,4,4,3,2,1
0967,4,4,3,1,1
0968,4,4,3,3,1
0969,4,1,3,2,2
0972,4,4,3,1,1
0981,4,2,1,2,2
0983,4,1,1,2,2
0991,4,2,2,1,2
0993,4,4,2,3,1
0998,4,2,1,2,2
0999,4,3,2,1,2
1000,4,4,2,4,1
1001,4,4,2,3,1
1002,4,4,1,4,1
1003,4,4,1,4,1
1004,4,4,1,3,1
1006,4,1,1,2,2
1008,4,4,2,4,1
1009,4,4,1,2,1
1010,4,4,1,3,1
1011,4,4,3,4,1
1012,4,4,3,2,1
1014,4,4,3,3,1
1016,4,4,3,1,1
1017,4,4,3,2,1
1018,4,4,2,4,1
1019,4,4,1,3,1
1020,4,4,2,5,1
1021,4,4,2,3,1
1022,4,4,2,4,1
1023,4,4,1,4,1
1024,4,2,1,3,2
1025,4,4,2,5,1
1026,4,4,2,5,1
1029,4,4,1,5,1
1031,4,4,1,4,1
1033,4,4,1,4,1
1037,4,4,1,3,1
1038,4,4,1,2,1
1039,4,4,1,4,1
1040,4,2,1,1,2
1041,4,4,1,4,1
1042,4,4,1,3,1
1044,4,4,1,4,1
1045,4,1,1,3,2
1049,4,4,2,3,1
1051,4,4,2,4,1
1052,4,4,2,4,1
1053,4,4,1,3,1
1054,4,4,1,4,1
1056,4,1,1,3,2
1068,4,4,2,3,1
1070,4,2,1,2,2
1071,4,4,1,4,1
1073,4,4,2,3,1
1078,4,4,1,4,1
1079,4,3,2,1,2
1082,4,4,2,3,1
1083,4,4,1,4,1
1084,4,4,2,3,1
1085,4,4,2,4,1
1086,4,4,1,4,1
1087,4,4,1,4,1
1088,4,4,1,4,1
1089,4,4,1,5,1
1090,4,3,1,2,2
1091,4,1,2,2,2
1092,4,4,1,3,1
1094,4,2,1,2,2
1096,4,4,1,2,1
1097,4,4,1,5,1
1098,4,4,1,5,1
1100,4,4,1,3,1
1102,4,4,1,4,1
1105,4,4,2,3,1
1107,4,4,2,4,1
1108,4,4,2,3,1
1111,4,4,2,5,1
1115,4,2,1,1,2
1116,4,1,1,3,2
1118,4,4,2,4,1
1119,4,1,2,2,2
1124,4,1,1,3,2
1125,4,4,2,3,1
1127,4,3,2,1,2
1133,4,4,1,3,1
1134,4,4,1,5,1
1135,4,4,1,4,1
1136,4,4,1,4,1
1138,4,1,1,3,2
1146,4,4,1,5,1
1147,4,4,1,5,1
1148,4,1,1,3,2
1149,4,4,1,5,1
1154,4,4,3,4,1
1155,4,4,2,4,1
1156,4,4,1,4,1
1157,4,4,1,5,1
1159,4,4,1,4,1
1160,4,4,1,5,1
1162,4,2,1,1,2
1163,4,3,1,1,2
1164,4,2,1,1,2
1165,4,3,1,3,2
1166,4,4,1,4,1
1167,4,4,1,5,1
1169,4,4,1,5,1
1172,4,2,1,1,2
1174,4,4,1,5,1
1175,4,4,1,5,1
1176,4,4,1,4,1
1178,4,3,1,1,2
1179,4,4,1,5,1
1180,4,3,1,1,2
1181,4,4,2,4,1
1182,4,4,1,2,1
1185,4,4,2,4,1
1186,4,2,2,3,2
1188,4,2,2,1,2
1189,4,3,2,1,2
1191,4,1,2,3,2
1192,4,4,2,5,1
1194,4,4,2,3,1
1195,4,2,2,1,2
1200,4,3,1,1,2
1204,4,1,1,3,2
1207,4,2,1,1,2
1208,4,4,2,4,1
1210,4,4,2,5,1
1211,4,1,1,3,2
1212,4,3,1,5,2
1215,4,4,2,4,1
1217,4,4,1,5,1
1218,4,4,2,5,1
1220,4,1,1,3,2
1221,4,4,2,4,1
1222,4,4,2,5,1
1223,4,4,2,3,1
1224,4,4,2,3,1
1228,4,4,2,5,1
1229,4,4,2,5,1
1231,4,4,2,5,1
1236,4,4,2,3,1
1237,4,4,2,4,1
1238,4,4,2,4,1
1241,4,1,2,2,2
1245,4,4,2,4,1
1248,4,4,1,5,1
1249,4,4,1,5,1
1251,4,4,3,5,1
1252,4,4,3,5,1
1253,4,1,2,2,2
1255,4,4,2,4,1
1260,4,4,2,4,1
1262,4,4,2,3,1
1264,4,4,1,3,1
1265,4,4,1,4,1
1267,4,4,1,5,1
1268,4,4,1,5,1
1270,4,2,2,1,2
1271,4,4,3,5,1
1273,4,4,3,3,1
1274,4,4,3,4,1
1275,4,4,3,4,1
1276,4,4,3,4,1
1277,4,4,3,4,1
1279,4,4,3,5,1
1280,4,4,3,5,1
2001,1,1,1,4,2
2003,1,3,1,1,2
2006,1,3,2,1,2
2008,1,3,2,2,2
2009,1,2,2,2,2
2016,1,3,1,1,2
2021,2,1,3,1,2
2025,2,2,1,2,2
2027,2,3,2,1,2
2028,2,3,3,1,2
2031,2,3,2,2,2
2032,2,3,3,2,2
2037,3,3,1,1,2
2038,3,3,1,1,2
2040,3,2,2,2,2
2044,3,2,1,1,2
2046,3,2,3,1,2
2050,3,2,1,1,2
2054,3,2,2,2,2
2057,3,2,1,2,2
2060,4,3,3,1,2
2064,4,3,1,3,2
2066,4,3,3,1,2
2075,4,3,1,1,2
2077,4,3,2,1,2
2078,1,4,3,2,1
2085,4,2,1,1,2
2092,2,1,2,2,2
2093,2,1,3,1,2
2100,3,2,3,1,2
2103,3,2,2,1,2
2105,4,2,1,1,2
2111,2,4,2,3,1
2112,1,4,2,4,1
2114,1,4,2,5,1
2115,2,4,2,4,1
2116,2,4,1,2,1
2117,2,4,1,3,1
2119,3,4,2,4,1
2120,3,4,3,4,1
2121,3,4,2,3,1
2122,4,4,1,5,1
2124,4,4,1,2,1
2125,3,4,3,2,1
2130,2,1,1,3,2
2131,2,1,2,1,2
2132,2,1,3,2,2
2135,4,4,1,2,1
3005,1,4,2,3,1
3007,2,4,2,4,1
3011,3,4,3,5,1
